BL_ID,LICENSE_NUMBER,LICENSE_STATUS,LICENSE_TYPE_CODE,LECENSE_TYPE,BILLING_CYCLE,BILL_DATE,APPLICATION_DATE,ISSUED_DATE,EXPIRE_DATE,START_DATE,CHARGE_CODE,CHARGE_AMOUNT,QUANTITY,ONE_TIME,INACTIVATE_DATE,MISC
05406,6376,A,1200,SERVICE GENERAL,GROS,6/4/2012,7/20/2010,7/11/2011,6/30/2013,7/1/2010,1200,$0.00,0,N,,NO MAXIMUM FEE
05406,6376,A,1200,SERVICE GENERAL,GROS,6/4/2012,7/20/2010,7/11/2011,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05420,6377,A,770,LICENSED GENERAL CONTRACTOR,PL,5/25/2012,7/1/2009,,6/30/2013,7/1/2010,770,$10.00,0,N,,
05423,6378,A,1200,SERVICE GENERAL,GROS,6/6/2012,8/30/2010,7/13/2011,6/30/2013,7/1/2010,1200,$0.00,0,N,,NO MAXIMUM FEE
05423,6378,A,1200,SERVICE GENERAL,GROS,6/6/2012,8/30/2010,7/13/2011,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05426,6379,A,1200,SERVICE GENERAL,GROS,6/26/2012,7/20/2010,6/24/2011,6/30/2013,7/1/2010,1200,$0.00,0,N,,NO MAXIMUM FEE
05426,6379,A,1200,SERVICE GENERAL,GROS,6/26/2012,7/20/2010,6/24/2011,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05437,6380,A,1300,RETAIL GENERAL,GROS,6/25/2012,6/18/2010,6/25/2012,6/30/2013,7/1/2010,1300,$0.00,0,N,,NO MAXIMUM FEE
05437,6380,A,1300,RETAIL GENERAL,GROS,6/25/2012,6/18/2010,6/25/2012,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05441,6381,A,778,REFRIGERATION CONTRACTOR,PL,5/25/2012,7/9/2010,6/27/2011,6/30/2013,7/1/2010,778,$50.00,0,N,,
05446,8185,A,1350,HOTEL/MOTEL/B&B,PL,5/25/2012,11/5/2010,11/5/2010,6/30/2013,11/5/2010,1350,$78.00,78,A,,
05446,8186,A,280,BEER ON PREMISE,ALCO,3/25/2012,11/5/2010,11/5/2010,4/30/2013,11/5/2010,280,$15.00,0,A,,
05446,8188,A,282,WINE ON PREMISE,ALCO,3/25/2012,11/5/2010,11/5/2010,4/30/2013,11/5/2010,282,$15.00,0,A,,
05447,6382,A,180,AUTO SERVICE/SUPPLIES,PL,5/25/2012,6/30/2010,6/30/2011,6/30/2013,7/1/2010,180,$12.50,0,N,,
05448,6383,A,2290,SUNDRIES,PL,5/25/2012,6/16/2010,6/30/2011,6/30/2013,7/1/2010,2290,$4.00,0,N,,
05448,6384,A,1830,MUSICAL MERCHANDISE,PL,5/25/2012,6/16/2010,6/30/2011,6/30/2013,7/1/2010,1830,$5.00,0,N,,
05448,6385,A,1300,RETAIL GENERAL,GROS,7/3/2012,6/22/2010,6/29/2011,6/30/2013,7/1/2010,1300,$0.00,0,N,,NO MAXIMUM FEE
05448,6385,A,1300,RETAIL GENERAL,GROS,7/3/2012,6/22/2010,6/29/2011,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05448,6386,A,630,CHAIN/BRANCH STORE,PL,5/25/2012,6/16/2010,6/30/2011,6/30/2013,7/1/2010,630,$50.00,0,N,,
05448,6387,A,283,WINE OFF PREMISE,ALCO,3/25/2012,4/6/2010,4/6/2011,4/30/2013,7/1/2010,283,$10.00,0,N,,
05448,6388,A,281,BEER OFF PREMISE,ALCO,3/25/2012,4/6/2010,4/6/2011,4/30/2013,7/1/2010,281,$5.00,0,N,,
05449,6389,I,1200,SERVICE GENERAL,GROS,5/25/2011,7/2/2009,,6/30/2012,7/1/2010,1200,$0.00,0,N,8/4/2011,NO MAXIMUM FEE
05449,6389,I,1200,SERVICE GENERAL,GROS,5/25/2011,7/2/2009,,6/30/2012,7/1/2010,BASER,$25.00,0,N,8/4/2011,NO MAXIMUM FEE
05455,6390,A,1300,RETAIL GENERAL,GROS,6/19/2012,7/1/2010,7/6/2011,6/30/2013,7/1/2010,1300,$0.00,0,N,,NO MAXIMUM FEE
05455,6390,A,1300,RETAIL GENERAL,GROS,6/19/2012,7/1/2010,7/6/2011,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05464,6391,A,2290,SUNDRIES,PL,5/25/2012,7/2/2010,,6/30/2013,7/1/2010,2290,$4.00,0,N,,
05464,6392,A,1200,SERVICE GENERAL,GROS,5/25/2012,7/2/2010,,6/30/2013,7/1/2010,1200,$0.00,0,N,,NO MAXIMUM FEE
05464,6392,A,1200,SERVICE GENERAL,GROS,5/25/2012,7/2/2010,,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05468,6393,A,1200,SERVICE GENERAL,GROS,5/25/2012,6/28/2010,7/14/2011,6/30/2013,7/1/2010,1200,$0.00,0,N,,NO MAXIMUM FEE
05468,6393,A,1200,SERVICE GENERAL,GROS,5/25/2012,6/28/2010,7/14/2011,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05470,6394,A,771,ELECTRICIAN,PL,5/25/2012,7/29/2010,7/28/2011,6/30/2013,7/1/2010,771,$50.00,0,N,,
05478,6395,A,779,HVAC,PL,5/25/2012,7/13/2010,7/7/2011,6/30/2013,7/1/2010,779,$50.00,0,N,,
05478,6396,A,771,ELECTRICIAN,PL,5/25/2012,6/25/2010,7/7/2011,6/30/2013,7/1/2010,771,$50.00,0,N,,
05483,6397,A,771,ELECTRICIAN,PL,5/25/2012,7/13/2010,6/7/2011,6/30/2013,7/1/2010,771,$50.00,0,N,,
05503,6398,A,1300,RETAIL GENERAL,GROS,5/29/2012,7/13/2010,6/24/2011,6/30/2013,7/1/2010,1300,$0.00,0,N,,NO MAXIMUM FEE
05503,6398,A,1300,RETAIL GENERAL,GROS,5/29/2012,7/13/2010,6/24/2011,6/30/2013,7/1/2010,BASER,$25.00,0,N,,NO MAXIMUM FEE
05510,6399,A,1350,HOTEL/MOTEL/B&B,PL,5/25/2012,6/16/2010,6/13/2011,6/30/2013,7/1/2010,1350,$25.00,25,N,,
