FID,name,address,zipcode,type,shape,notes
coa_food_locations.1,Asheville City Market,161 South Charlotte Stree,28801,Tailgate Market,POINT (-82.54874061379742 35.59299250909658),http://www.asapconnections.org/citymarket.html
coa_food_locations.2,Asheville City Market (South),31 Schenck Pkwy,28803,Tailgate Market,POINT (-82.55381345902735 35.485644611579154),http://www.asapconnections.org/citymarket.html
coa_food_locations.3,Big Ivy Tailgate Market,1679 Barnardsville Highwa,28709,Tailgate Market,POINT (-82.45517627940104 35.77765873902592),http://www.buyappalachian.org/search/tailgate_markets
coa_food_locations.4,Black Mountain Tailgate Market,130 Montreat Road,28711,Tailgate Market,POINT (-82.32155321881662 35.620285370930475),http://www.blackmountaintailgatemarket.org/
coa_food_locations.5,Downtown Farmers Market,45 South French Broad,28806,Tailgate Market,POINT (-82.55921284752588 35.59211384089363),http://www.downtownmarketasheville.com/
coa_food_locations.6,Greenlife Sunday Market,70 Merrimon Ave,28801,Tailgate Market,POINT (-82.55461073841363 35.601878307210725),http://www.greenevillefarmersmarket.com/index.html
coa_food_locations.7,North Asheville Tailgate Market,1 University Heights,28804,Tailgate Market,POINT (-82.56307635944358 35.618447375500324),http://www.northashevilletailgatemarket.org/
coa_food_locations.8,Riceville Tailgate Market,2251 Riceville Road,28805,Tailgate Market,POINT (-82.47207539330896 35.63077652624642),http://www.buyappalachian.org/search/tailgate_markets
coa_food_locations.9,Victory Tailgate Market,1329 Tunnel Road,28805,Tailgate Market,POINT (-82.46734478015814 35.583263294555586),http://www.buyappalachian.org/search/tailgate_markets
coa_food_locations.10,Weaverville Tailgate Market,60 Lakeshore Drive,28787,Tailgate Market,POINT (-82.56901012578314 35.69065850678006),http://weavervilletailgate.org/
coa_food_locations.11,West Asheville Tailgate Market,718 Haywood Road,28806,Tailgate Market,POINT (-82.5923287675905 35.577179818342756),http://www.buyappalachian.org/search/tailgate_markets
coa_food_locations.12,WNC Farmers Market,570 Brevard Road,28806,Tailgate Market,POINT (-82.59849606628784 35.55549519291626),http://www.ncfarmfresh.com/FarmMarketDisplay.asp?FarmID=742
coa_food_locations.13,ARDEN MISSIONARY BAPTIST CHURCH,2566 HENDERSONVILLE ROAD,28732,Manna Agencies,POINT (-82.50958824334197 35.4530415478211),stephenisrael@ya
coa_food_locations.14,ABCCM - SOUTH MINISTRY,10 BUCK SHOALS ROAD,28704,Manna Agencies,POINT (-82.5127898748052 35.46248062136987),bbrown@abccm.org
coa_food_locations.15,BETHEL SEVENTH DAY ADVENTIST CH,238 S. FRENCH BROAD AVE.,28805,Manna Agencies,POINT (-82.55901831697824 35.5853658154331),jvlaw111@aol.com
coa_food_locations.16,BILTMORE CHURCH OF CHRIST,823 FAIRVIEW ST.,28803,Manna Agencies,POINT (-82.53397511996833 35.55152084702225),grannygumdrop@ho
coa_food_locations.17,"IRENE WORTHAM CENTER, INC.",916 WEST CHAPEL ROAD,28803,Manna Agencies,POINT (-82.53412954374862 35.549434414135085),jcaldwell@iwcnc.
coa_food_locations.19,MOUNT SHEBA BAPTIST CHURCH,1008 NEW STOCK RD.,28787,Manna Agencies,POINT (-82.59460972420628 35.71240761128807),wendy_proffitt@y
coa_food_locations.21,SALVATION ARMY OF ASHEVILLE,204 HAYWOOD STREET,28802,Manna Agencies,POINT (-82.56024048119424 35.59548978746516),jill.carter@uss.
coa_food_locations.22,FOSTER SEVENTH DAY ADVENTIST CH,375 HENDERSONVILLE ROAD,28803,Manna Agencies,POINT (-82.5382417879753 35.556735520390504),fosterchurch@cs.
coa_food_locations.23,SWANNANOA VALLEY CHRISTIAN MINI,101 N. RIDGEWAY AVENUE,28711,Manna Agencies,POINT (-82.31888717325788 35.61995582659977),svcministry@yaho
coa_food_locations.24,WESTERN CAROLINA RESCUE MINISTR,225 PATTON AVE.,28802,Manna Agencies,POINT (-82.56135215623439 35.59337880804044),craig.wcrm@gmail
coa_food_locations.25,ABCCM - CRISIS MINISTRY,24 CUMBERLAND AVE.,28801,Manna Agencies,POINT (-82.55903691844345 35.59826341594306),sheryl.olsen@abc
coa_food_locations.26,ABCCM - VETERANS RESTORATION QU,1329 TUNNEL ROAD EAST,28805,Manna Agencies,POINT (-82.4673447796551 35.58326329459741),mreich@abccm.org
coa_food_locations.27,FREEDOM IN CHRIST CHURCH OF GOD,1808 PISGAH HIGHWAY,28715,Manna Agencies,POINT (-82.74113550202783 35.48320493201056),ckeffer@bellsout
coa_food_locations.28,CHILDREN FIRST - EMMA RESOURCE,"50 S. FRENCH BROAD AVE., SUITE 246",28806,Manna Agencies,POINT (-82.5585753743026 35.591734233932335),lisab@childrenfi
coa_food_locations.30,"CALVARY CHAPEL OF ASHEVILLE, IN",2 IRIS ST.,28815,Manna Agencies,POINT (-82.537357499444 35.56262018038319),robneecll@charte
coa_food_locations.31,ABCCM - HOMINY VALLEY,155 CANDLER SCHOOL RD,28715,Manna Agencies,POINT (-82.7038174586789 35.5393240374443),joffenburger@abc
coa_food_locations.32,RAYS CHAPEL BAPTIST CHURCH,24 WOOTEN COVE RD,28787,Manna Agencies,POINT (-82.55016449431525 35.717293076207525),blankship27@yaho
coa_food_locations.34,LEICESTER COMMUNITY CENTER PROD,2979 New Leicester Hwy.,28748,Manna Agencies,POINT (-82.7137635716568 35.657344720918), 
coa_food_locations.36,BLUE RIDGE CHURCH OF CHRIST,8 OLD LAKEY GAP ROAD,28711,Manna Agencies,POINT (-82.3341694126437 35.6031830731285),NCJHunter@gmail.
coa_food_locations.37,BIG IVY COMMUNITY CLUB,111 POVERTY BRANCH RD.,28709,Manna Agencies,POINT (-82.45021050924662 35.78674262238889),bicc@barnardsvil
coa_food_locations.38,FAMILY OF FAITH FELLOWSHIP,213 LONG SHOALS RD.,28776,Manna Agencies,POINT (-82.53962535814624 35.48241948396),familyoffaith@be
coa_food_locations.39,GOD'S FILLING STATION-MUSTARD S,503 JOHNSTON SCHOOL RD.,28806,Manna Agencies,POINT (-82.62566688088698 35.59159456977235),brockwelld@yahoo
